trait	gene	chr	ID	POS	z	pip	r2_lead	cs95	cs99	is_lead
LDL_C	PCSK9	1	rs299866	54540031	0.710435866740514	0	0.00011524881316	0	0	FALSE
LDL_C	PCSK9	1	rs11206381	54540506	0.269874347886803	0	0.00290563043521	0	0	FALSE
LDL_C	PCSK9	1	rs10128070	54540790	-3.11625777185217	0	0.00081075728644	0	0	FALSE
LDL_C	PCSK9	1	rs78101356	54540810	-0.453446663015556	0	0.00072674454724	0	0	FALSE
LDL_C	PCSK9	1	rs78784815	54540848	-0.520492079498379	0	0.00031989826449	0	0	FALSE
LDL_C	PCSK9	1	rs7548057	54540884	-2.34626062497304	0	0.00532983223249	0	0	FALSE
LDL_C	PCSK9	1	rs527391096	54541038	0.487793348480459	0	0.00015933760441	0	0	FALSE
LDL_C	PCSK9	1	rs112372564	54541117	-0.519054868274856	0	0.00064474350724	0	0	FALSE
LDL_C	PCSK9	1	rs188675680	54541314	-0.447740870550689	0	0.00641026010881	0	0	FALSE
LDL_C	PCSK9	1	rs540150540	54541562	1.89316706137323	0	0.00015933760441	0	0	FALSE
LDL_C	PCSK9	1	rs145452855	54541976	0.594329573305723	0	0.00023946324516	0	0	FALSE
LDL_C	PCSK9	1	rs72668248	54542000	-0.326551491384859	0	0.00091799304256	0	0	FALSE
LDL_C	PCSK9	1	rs77599229	54542068	-0.322818975387556	0	0.00091799304256	0	0	FALSE
LDL_C	PCSK9	1	rs543450031	54542089	-0.743653133268143	0	0.00483033340036	0	0	FALSE
LDL_C	PCSK9	1	rs148910405	54542139	0.62425586127316	0	0.00010313621136	0	0	FALSE
LDL_C	PCSK9	1	rs7516649	54542148	-0.342260912164274	0	0.00091799304256	0	0	FALSE
LDL_C	PCSK9	1	rs570406256	54542166	1.7512319641809	0	0.00015933760441	0	0	FALSE
LDL_C	PCSK9	1	rs530200662	54542439	0.492619241617826	0	0.00015933760441	0	0	FALSE
LDL_C	PCSK9	1	rs7554205	54542633	-0.478995556317389	0	0.00091799304256	0	0	FALSE
LDL_C	PCSK9	1	rs141023193	54543040	-0.0605305522745799	0	0.00208332909225	0	0	FALSE
LDL_C	PCSK9	1	rs72668249	54543172	-0.483206830577665	0	0.00091799304256	0	0	FALSE
LDL_C	PCSK9	1	rs572007520	54543218	-0.815223569555198	0	0.00023946324516	0	0	FALSE
LDL_C	PCSK9	1	rs115370787	54543431	0.132104455719297	0	0.00023946324516	0	0	FALSE
